Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

U23        SMD_TO254P1524X483-3_4N_D2PAK_+_DPAK          -1mm       79.95mm          -1mm          83mm       -3.54mm       76.65mm  T         90.00 (OPT) L7805CD2T-TR
U20        SMD_TO229P991X239-4AN_DPAK          -1mm       79.25mm          -1mm       80.15mm       -3.29mm          76mm  T         90.00 L78M05CDT-TR   
U25        SMD_SOP65P490X110-9N_-_DUAL        -4.8mm      66.225mm        -4.8mm      66.225mm        -6.2mm        66.9mm  T        360.00 LTC 4449       
D7         SMD_0805_LED2012X100N        31.5mm       71.75mm        31.5mm       71.75mm        31.5mm        72.8mm  T        270.00 Orange 	SML210DT ROHM
D6         SMD_0805_LED2012X100N        33.5mm       71.75mm        33.5mm       71.75mm        33.5mm        72.8mm  T        270.00 Yellow SML210YT ROHM
D4         SMD_0805_LED2012X100N        12.5mm       72.45mm        12.5mm       72.45mm        12.5mm        73.5mm  T        270.00 Red SML210VT ROHM
D5         SMD_0805_LED2012X100N        15.4mm        73.1mm        15.4mm        73.1mm       14.35mm        73.1mm  T        360.00 Green 	SML210MT ROHM
J2         MOLEX_PWR_4P_-_AVALON      -26.62mm       78.08mm      -26.62mm       81.89mm         -19mm          73mm  T        180.00 CON MOLEX HDD  
U30        SMD_SOP65P490X110-9N_-_DUAL    -33.7999mm     66.2251mm    -33.7999mm     66.2251mm    -35.1999mm     66.9001mm  T        360.00 LTC 4449       
R60        SMD_1206_RESC3216X180N           7mm        81.5mm           7mm        81.5mm         8.5mm        81.5mm  T        180.00 0              
R59        SMD_0603_RESC1608X55N         7.5mm          69mm         7.5mm          69mm         7.5mm        69.8mm  T        270.00 10k            
Q6         SMD_SON127P615X520X100-8N         -41mm       57.75mm         -41mm       57.75mm      -38.25mm      55.845mm  T        180.00 AP1RA03GMT-3   
Q5         SMD_SON127P615X520X100-8N         -41mm          64mm         -41mm          64mm      -38.25mm      62.095mm  T        180.00 AP1RA03GMT-3   
Q4         SMD_SON127P615X520X100-8N    -41.0049mm     70.6751mm    -41.0049mm     70.6751mm    -42.9099mm     67.9251mm  T         90.00 AP1RA03GMT-3   
L2         SMD_INDM12501250X800A_-_Coilcraft_SLC1480         -31mm        48.5mm         -31mm        48.5mm     -35.975mm        48.5mm  T        360.00 SLC1480-201MLD 
C312       SMD_0805_CAPC2012X145N    -35.2499mm     69.1702mm    -35.2499mm     69.1702mm    -34.3499mm     69.1702mm  T        180.00 100nF/50V      
C311       SMD_0805_CAPC2012X145N      -28.35mm     65.2501mm      -28.35mm     65.2501mm      -28.35mm     66.1501mm  T        270.00 1uF/16V        
C308       SMD_0805_CAPC2012X145N    -25.3749mm     68.9864mm    -25.3749mm     68.9864mm    -25.3749mm     68.0864mm  T         90.00 10uF/16V       
C306       SMD_0805_CAPC2012X145N       15.25mm          44mm       15.25mm          44mm       15.25mm        44.9mm  T        270.00 22uF/6.3V      
C305       SMD_0805_CAPC2012X145N           7mm          42mm           7mm          42mm         7.9mm          42mm  T        180.00 22uF/6.3V      
C304       SMD_0805_CAPC2012X145N           7mm          44mm           7mm          44mm         7.9mm          44mm  T        180.00 22uF/6.3V      
C303       SMD_0805_CAPC2012X145N           7mm          46mm           7mm          46mm         7.9mm          46mm  T        180.00 22uF/6.3V      
C302       SMD_0805_CAPC2012X145N         3.5mm          46mm         3.5mm          46mm         2.6mm          46mm  T        360.00 22uF/6.3V      
C300       SMD_0805_CAPC2012X145N       2.925mm       38.55mm       2.925mm       38.55mm       2.025mm       38.55mm  T        360.00 22uF/6.3V      
C299       SMD_0805_CAPC2012X145N         3.5mm          42mm         3.5mm          42mm         2.6mm          42mm  T        360.00 22uF/6.3V      
C298       SMD_0805_CAPC2012X145N       -1.85mm        38.5mm       -1.85mm        38.5mm       -0.95mm        38.5mm  T        180.00 22uF/6.3V      
C297       SMD_0805_CAPC2012X145N           7mm          48mm           7mm          48mm         7.9mm          48mm  T        180.00 22uF/6.3V      
C296       SMD_0805_CAPC2012X145N          11mm          55mm          11mm          55mm        10.1mm          55mm  T        360.00 22uF/6.3V      
C295       SMD_0805_CAPC2012X145N       -17.5mm        60.5mm       -17.5mm        60.5mm       -18.4mm        60.5mm  T        360.00 22uF/6.3V      
C294       SMD_0805_CAPC2012X145N       -17.5mm        46.5mm       -17.5mm        46.5mm       -18.4mm        46.5mm  T        360.00 22uF/6.3V      
C293       SMD_0805_CAPC2012X145N           6mm          52mm           6mm          52mm         6.9mm          52mm  T        180.00 22uF/6.3V      
C292       SMD_0805_CAPC2012X145N     -25.775mm     61.2501mm     -25.775mm     61.2501mm     -25.775mm     60.3501mm  T         90.00 22uF/6.3V      
C291       SMD_0805_CAPC2012X145N     -27.775mm       61.25mm     -27.775mm       61.25mm     -27.775mm       60.35mm  T         90.00 22uF/6.3V      
C290       SMD_0805_CAPC2012X145N           6mm          56mm           6mm          56mm         6.9mm          56mm  T        180.00 22uF/6.3V      
C289       SMD_0805_CAPC2012X145N           6mm          54mm           6mm          54mm         6.9mm          54mm  T        180.00 22uF/6.3V      
